id,name,team,amount,time
25115,Marte_Damaso              mr-35,011,1,2011-02-24T22:09:10
25299,Linebrink_Scott           mr-33,003,1,2011-02-25T06:28:55
25303,Lugo_Julio                2b-34,120,4,2011-02-25T11:52:09
26095,Barmes_Clint              2b-31,012,8,2011-02-25T21:26:24
26218,LaRoche_Adam              1b-30,100,30,2011-02-25T14:34:27
26244,Miles_Aaron               2b-33,003,1,2011-02-25T06:34:11
26374,Correia_Kevin             sp-29,100,3,2011-02-25T14:35:29
27069,Alfonzo_Eliezer           c-31,110,1,2011-02-25T20:16:38
27157,Fields_Josh               3b-27,003,1,2011-02-25T06:24:02
27225,LaRoche_Andy              3b-26,100,3,2011-02-25T14:35:04
27412,Willits_Reggie            lf-29,111,3,2011-02-25T09:14:22
27425,Moylan_Peter              mr-31,012,4,2011-02-25T21:26:53
27574,Ekstrom_Mike              mr-26,011,1,2011-02-24T22:09:10
27636,Jaramillo_Jason           c-27,003,1,2011-02-25T06:19:07
27637,Jaso_John                 c-26,103,28,2011-02-25T16:09:55
27703,Pearce_Steve              1b-27,003,1,2011-02-25T06:31:51
28023,Getz_Chris                2b-26,120,3,2011-02-25T11:52:15
28221,Wieters_Matt              c-24,000,38,2011-02-25T20:28:01
28295,French_Lucas              sp-24,100,3,2011-02-25T18:01:15
28383,Worth_Danny               ss-24,112,1,2011-02-24T23:15:43
28446,Nunez_Eduardo             3b-23,003,4,2011-02-25T06:26:07
28486,Sogard_Eric               2b-24,003,1,2011-02-25T06:47:28
28510,Ely_John                  sp-24,012,4,2011-02-25T21:26:39
